Funktion;Text
Permission;Ist dem Vermieter nicht zuzumuten, das Mietverhältnis zu den bisherigen Vertragsbedingungen fortzusetzen, so kann der Mieter nur verlangen, dass es unter einer angemessenen Änderung der Bedingungen fortgesetzt wird.
Consequence;(2) Kommt keine Einigung zustande, so werden die Fortsetzung des Mietverhältnisses, deren Dauer sowie die Bedingungen, zu denen es fortgesetzt wird, durch Urteil bestimmt.
Permission;Ist ungewiss, wann voraussichtlich die Umstände wegfallen, auf Grund derer die Beendigung des Mietverhältnisses eine Härte bedeutet, so kann bestimmt werden, dass das Mietverhältnis auf unbestimmte Zeit fortgesetzt wird.
Objection;(3) Eine zum Nachteil des Mieters abweichende Vereinbarung ist unwirksam.
Duty;(1) Der Widerspruch des Mieters gegen die Kündigung ist schriftlich zu erklären.
Duty;Auf Verlangen des Vermieters soll der Mieter über die Gründe des Widerspruchs unverzüglich Auskunft erteilen.
Permission;(2) Der Vermieter kann die Fortsetzung des Mietverhältnisses ablehnen, wenn der Mieter ihm den Widerspruch nicht spätestens zwei Monate vor der Beendigung des Mietverhältnisses erklärt hat.
Permission;Hat der Vermieter nicht rechtzeitig vor Ablauf der Widerspruchsfrist auf die Möglichkeit des Widerspruchs sowie auf dessen Form und Frist hingewiesen, so kann der Mieter den Widerspruch noch im ersten Termin des Räumungsrechtsstreits erklären.
Objection;(3) Eine zum Nachteil des Mieters abweichende Vereinbarung ist unwirksam.
Permission;(1) Ist auf Grund der §§ 574 bis 574b durch Einigung oder Urteil bestimmt worden, dass das Mietverhältnis auf bestimmte Zeit fortgesetzt wird, so kann der Mieter dessen weitere Fortsetzung nur verlangen, wenn dies durch eine wesentliche Änderung der Umstände gerechtfertigt ist oder wenn Umstände nicht eingetreten sind, deren vorgesehener Eintritt für die Zeitdauer der Fortsetzung bestimmend gewesen war.
Permission;(2) Kündigt der Vermieter ein Mietverhältnis, dessen Fortsetzung auf unbestimmte Zeit durch Urteil bestimmt worden ist, so kann der Mieter der Kündigung widersprechen und vom Vermieter verlangen, das Mietverhältnis auf unbestimmte Zeit fortzusetzen.
Permission;Haben sich die Umstände verändert, die für die Fortsetzung bestimmend gewesen waren, so kann der Mieter eine Fortsetzung des Mietverhältnisses nur nach § 574 verlangen.
Objection;(3) Eine zum Nachteil des Mieters abweichende Vereinbarung ist unwirksam.
Permission;(1) Ein Mietverhältnis kann auf bestimmte Zeit eingegangen werden, wenn der Vermieter nach Ablauf der Mietzeit 1.die Räume als Wohnung für sich, seine Familienangehörigen oder Angehörige seines Haushalts nutzen will, 2.in zulässiger Weise die Räume beseitigen oder so wesentlich verändern oder instand setzen will, dass die Maßnahmen durch eine Fortsetzung des Mietverhältnisses erheblich erschwert würden, oder 3.die Räume an einen zur Dienstleistung Verpflichteten vermieten will und er dem Mieter den Grund der Befristung bei Vertragsschluss schriftlich mitteilt.
Permission;(2) Der Mieter kann vom Vermieter frühestens vier Monate vor Ablauf der Befristung verlangen, dass dieser ihm binnen eines Monats mitteilt, ob der Befristungsgrund noch besteht.
Permission;Erfolgt die Mitteilung später, so kann der Mieter eine Verlängerung des Mietverhältnisses um den Zeitraum der Verspätung verlangen.
Permission;(3) Tritt der Grund der Befristung erst später ein, so kann der Mieter eine Verlängerung des Mietverhältnisses um einen entsprechenden Zeitraum verlangen.
Permission;Entfällt der Grund, so kann der Mieter eine Verlängerung auf unbestimmte Zeit verlangen.
Objection;(4) Eine zum Nachteil des Mieters abweichende Vereinbarung ist unwirksam.
Reference;(1) Kann ein Mietverhältnis, das auf bestimmte Zeit eingegangen ist, außerordentlich mit der gesetzlichen Frist gekündigt werden, so gelten mit Ausnahme der Kündigung gegenüber Erben des Mieters nach § 564 die §§ 573 und 573a entsprechend.
Reference;(2) Die §§ 574 bis 574c gelten entsprechend mit der Maßgabe, dass die Fortsetzung des Mietverhältnisses höchstens bis zum vertraglich bestimmten Zeitpunkt der Beendigung verlangt werden kann.
Objection;(3) Die Kündigung ist spätestens am dritten Werktag eines Kalendermonats zum Ablauf des übernächsten Monats zulässig, bei Wohnraum nach § 549 Abs. 2 Nr. 2 spätestens am 15. eines Monats zum Ablauf dieses Monats (gesetzliche Frist).
Reference;§ 573a Abs. 1 Satz 2 findet keine Anwendung.
Objection;(4) Eine zum Nachteil des Mieters abweichende Vereinbarung ist unwirksam.
Permission;(1) Ist Wohnraum mit Rücksicht auf das Bestehen eines Dienstverhältnisses vermietet, so kann der Vermieter nach Beendigung des Dienstverhältnisses abweichend von § 573c Abs. 1 Satz 2 mit folgenden Fristen kündigen.
Objection;(2) Eine zum Nachteil des Mieters abweichende Vereinbarung ist unwirksam.
Duty;(1) Bei der Anwendung der §§ 574 bis 574c auf Werkmietwohnungen sind auch die Belange des Dienstberechtigten zu berücksichtigen.
Reference;(2) Die §§ 574 bis 574c gelten nicht, wenn 1.der Vermieter nach § 576 Abs. 1 Nr. 2 gekündigt hat
Objection;(3) Eine zum Nachteil des Mieters abweichende Vereinbarung ist unwirksam.
Reference;(1) Ist Wohnraum im Rahmen eines Dienstverhältnisses überlassen, so gelten für die Beendigung des Rechtsverhältnisses hinsichtlich des Wohnraums die Vorschriften über Mietverhältnisse entsprechend, wenn der zur Dienstleistung Verpflichtete den Wohnraum überwiegend mit Einrichtungsgegenständen ausgestattet hat oder in dem Wohnraum mit seiner Familie oder Personen lebt, mit denen er einen auf Dauer angelegten gemeinsamen Haushalt führt.
Objection;(2) Eine zum Nachteil des Mieters abweichende Vereinbarung ist unwirksam.
Permission;(1) Werden vermietete Wohnräume, an denen nach der Überlassung an den Mieter Wohnungseigentum begründet worden ist oder begründet werden soll, an einen Dritten verkauft, so ist der Mieter zum Vorkauf berechtigt.
Continuation;Dies gilt nicht, wenn der Vermieter die Wohnräume an einen Familienangehörigen oder an einen Angehörigen seines Haushalts verkauft.
Reference;Soweit sich nicht aus den nachfolgenden Absätzen etwas anderes ergibt, finden auf das Vorkaufsrecht die Vorschriften über den Vorkauf Anwendung.
Duty;(2) Die Mitteilung des Verkäufers oder des Dritten über den Inhalt des Kaufvertrags ist mit einer Unterrichtung des Mieters über sein Vorkaufsrecht zu verbinden.
Consequence;(3) Die Ausübung des Vorkaufsrechts erfolgt durch schriftliche Erklärung des Mieters gegenüber dem Verkäufer.
Consequence;(4) Stirbt der Mieter, so geht das Vorkaufsrecht auf diejenigen über, die in das Mietverhältnis nach § 563 Abs. 1 oder 2 eintreten.
Objection;(5) Eine zum Nachteil des Mieters abweichende Vereinbarung ist unwirksam.
Permission;(1) Ist an vermieteten Wohnräumen nach der Überlassung an den Mieter Wohnungseigentum begründet und das Wohnungseigentum veräußert worden, so kann sich ein Erwerber auf berechtigte Interessen im Sinne des § 573 Abs. 2 Nr. 2 oder 3 erst nach Ablauf von drei Jahren seit der Veräußerung berufen.
Reference;(1a) Die Kündigungsbeschränkung nach Absatz 1 gilt entsprechend, wenn vermieteter Wohnraum nach der Überlassung an den Mieter 1.an eine Personengesellschaft oder an mehrere Erwerber veräußert worden ist oder2.zu Gunsten einer Personengesellschaft oder mehrerer Erwerber mit einem Recht belastet worden ist, durch dessen Ausübung dem Mieter der vertragsgemäße Gebrauch entzogen wird.
Reference;Satz 1 ist nicht anzuwenden, wenn die Gesellschafter oder Erwerber derselben Familie oder demselben Haushalt angehören oder vor Überlassung des Wohnraums an den Mieter Wohnungseigentum begründet worden ist.
Consequence;(2) Die Frist nach Absatz 1 oder nach Absatz 1a beträgt bis zu zehn Jahre, wenn die ausreichende Versorgung der Bevölkerung mit Mietwohnungen zu angemessenen Bedingungen in einer Gemeinde oder einem Teil einer Gemeinde besonders gefährdet ist und diese Gebiete nach Satz 2 bestimmt sind.
Permission;Die Landesregierungen werden ermächtigt, diese Gebiete und die Frist nach Satz 1 durch Rechtsverordnung für die Dauer von jeweils höchstens zehn Jahren zu bestimmen.
Consequence;(2a) Wird nach einer Veräußerung oder Belastung im Sinne des Absatzes 1a Wohnungseigentum begründet, so beginnt die Frist, innerhalb der eine Kündigung nach § 573 Absatz 2 Nummer 2 oder 3 ausgeschlossen ist, bereits mit der Veräußerung oder Belastung nach Absatz 1a.(3) Eine zum Nachteil des Mieters abweichende Vereinbarung ist unwirksam.
Reference;(1) Auf Mietverhältnisse über Grundstücke sind die Vorschriften der §§ 550, 562 bis 562d, 566 bis 567b sowie 570 entsprechend anzuwenden.
Reference;(2) Auf Mietverhältnisse über Räume, die keine Wohnräume sind, sind die in Absatz 1 genannten Vorschriften sowie § 552 Abs. 1, § 555a Absatz 1 bis 3, §§ 555b, 555c Absatz 1 bis 4, § 555d Absatz 1 bis 6, § 555e Absatz 1 und 2, § 555f und § 569 Abs. 2 entsprechend anzuwenden.
Reference;§ 556c Absatz 1 und 2 sowie die auf Grund des § 556c Absatz 3 erlassene Rechtsverordnung sind entsprechend anzuwenden, abweichende Vereinbarungen sind zulässig.
Reference;Sind die Räume zum Aufenthalt von Menschen bestimmt, so gilt außerdem § 569 Abs. 1 entsprechend.
Reference;(1) Die Vorschriften der §§ 566, 566a, 566e bis 567b gelten im Falle der Veräußerung oder Belastung eines im Schiffsregister eingetragenen Schiffs entsprechend.
Objection;(2) Eine Verfügung, die der Vermieter vor dem Übergang des Eigentums über die Miete getroffen hat, die auf die Zeit der Berechtigung des Erwerbers entfällt, ist dem Erwerber gegenüber wirksam.
Continuation;Das Gleiche gilt für ein Rechtsgeschäft, das zwischen dem Mieter und dem Vermieter über die Mietforderung vorgenommen wird, insbesondere die Entrichtung der Miete.
Reference;§ 566d gilt entsprechend.
Duty;(1) Die Miete für ein Grundstück und für bewegliche Sachen ist am Ende der Mietzeit zu entrichten.
Duty;Ist die Miete nach Zeitabschnitten bemessen, so ist sie nach Ablauf der einzelnen Zeitabschnitte zu entrichten.
Duty;Die Miete für ein Grundstück ist, sofern sie nicht nach kürzeren Zeitabschnitten bemessen ist, jeweils nach Ablauf eines Kalendervierteljahrs am ersten Werktag des folgenden Monats zu entrichten.
Reference;(2) Für Mietverhältnisse über Räume gilt § 556b Abs. 1 entsprechend.
Permission;Stirbt der Mieter, so ist sowohl der Erbe als auch der Vermieter berechtigt, das Mietverhältnis innerhalb eines Monats, nachdem sie vom Tod des Mieters Kenntnis erlangt haben, außerordentlich mit der gesetzlichen Frist zu kündigen.
Objection;(1) Bei einem Mietverhältnis über Grundstücke, über Räume, die keine Geschäftsräume sind, ist die ordentliche Kündigung zulässig, 1.wenn die Miete nach Tagen bemessen ist, an jedem Tag zum Ablauf des folgenden Tages
Objection;(2) Bei einem Mietverhältnis über Geschäftsräume ist die ordentliche Kündigung spätestens am dritten Werktag eines Kalendervierteljahres zum Ablauf des nächsten Kalendervierteljahrs zulässig.
Objection;(3) Bei einem Mietverhältnis über bewegliche Sachen ist die ordentliche Kündigung zulässig, 1.wenn die Miete nach Tagen bemessen ist, an jedem Tag zum Ablauf des folgenden Tages
Reference;(4) Absatz 1 Nr. 3, Absatz 2 und 3 Nr. 2 sind auch anzuwenden, wenn ein Mietverhältnis außerordentlich mit der gesetzlichen Frist gekündigt werden kann.
Duty;(1) Durch den Pachtvertrag wird der Verpächter verpflichtet, dem Pächter den Gebrauch des verpachteten Gegenstands und den Genuss der Früchte, soweit sie nach den Regeln einer ordnungsmäßigen Wirtschaft als Ertrag anzusehen sind, während der Pachtzeit zu gewähren.
Duty;Der Pächter ist verpflichtet, dem Verpächter die vereinbarte Pacht zu entrichten.
Reference;(2) Auf den Pachtvertrag mit Ausnahme des Landpachtvertrags sind, soweit sich nicht aus den §§ 582 bis 584b etwas anderes ergibt, die Vorschriften über den Mietvertrag entsprechend anzuwenden.
Duty;(1) Wird ein Grundstück mit Inventar verpachtet, so obliegt dem Pächter die Erhaltung der einzelnen Inventarstücke.
Duty;(2) Der Verpächter ist verpflichtet, Inventarstücke zu ersetzen, die infolge eines vom Pächter nicht zu vertretenden Umstands in Abgang kommen.
Duty;Der Pächter hat jedoch den gewöhnlichen Abgang der zum Inventar gehörenden Tiere insoweit zu ersetzen, als dies einer ordnungsmäßigen Wirtschaft entspricht.
Permission;Innerhalb der Grenzen einer ordnungsmäßigen Wirtschaft kann er über die einzelnen Inventarstücke verfügen.
Duty;(2) Der Pächter hat das Inventar in dem Zustand zu erhalten und in dem Umfang laufend zu ersetzen, der den Regeln einer ordnungsmäßigen Wirtschaft entspricht.
Consequence;Die von ihm angeschafften Stücke werden mit der Einverleibung in das Inventar Eigentum des Verpächters.
Duty;(3) Bei Beendigung des Pachtverhältnisses hat der Pächter das vorhandene Inventar dem Verpächter zurückzugewähren.
Permission;Der Verpächter kann die Übernahme derjenigen von dem Pächter angeschafften Inventarstücke ablehnen, welche nach den Regeln einer ordnungsmäßigen Wirtschaft für das Grundstück überflüssig oder zu wertvoll sind
Duty;Besteht zwischen dem Gesamtschätzwert des übernommenen und dem des zurückzugewährenden Inventars ein Unterschied, so ist dieser in Geld auszugleichen.
Duty;Den Schätzwerten sind die Preise im Zeitpunkt der Beendigung des Pachtverhältnisses zugrunde zu legen.
Consequence;(1) Dem Pächter eines Grundstücks steht für die Forderungen gegen den Verpächter, die sich auf das mitgepachtete Inventar beziehen, ein Pfandrecht an den in seinen Besitz gelangten Inventarstücken zu.
Permission;(2) Der Verpächter kann die Geltendmachung des Pfandrechts des Pächters durch Sicherheitsleistung abwenden.
Permission;Er kann jedes einzelne Inventarstück dadurch von dem Pfandrecht befreien, dass er in Höhe des Wertes Sicherheit leistet.
Objection;Vertragsbestimmungen, die den Pächter eines Betriebs verpflichten, nicht oder nicht ohne Einwilligung des Verpächters über Inventarstücke zu verfügen oder Inventar an den Verpächter zu veräußern, sind nur wirksam, wenn sich der Verpächter verpflichtet, das Inventar bei der Beendigung des Pachtverhältnisses zum Schätzwert zu erwerben.
Objection;(1) Ist bei dem Pachtverhältnis über ein Grundstück oder ein Recht die Pachtzeit nicht bestimmt, so ist die Kündigung nur für den Schluss eines Pachtjahrs zulässig.
Continuation;(2) Dies gilt auch, wenn das Pachtverhältnis außerordentlich mit der gesetzlichen Frist gekündigt werden kann.
Consequence;(1) Dem Pächter steht das in § 540 Abs. 1 bestimmte Kündigungsrecht nicht zu.
Prohibition;(2) Der Verpächter ist nicht berechtigt, das Pachtverhältnis nach § 580 zu kündigen.
Permission;Gibt der Pächter die Pachtsache nach Beendigung des Pachtverhältnisses nicht zurück, so kann der Verpächter für die Dauer der Vorenthaltung als Entschädigung die vereinbarte Pacht verlangen.
Objection;Die Geltendmachung eines weiteren Schadens ist nicht ausgeschlossen.
Consequence;(1) Durch den Landpachtvertrag wird ein Grundstück mit den seiner Bewirtschaftung dienenden Wohn- oder Wirtschaftsgebäuden (Betrieb) oder ein Grundstück ohne solche Gebäude überwiegend zur Landwirtschaft verpachtet.
Definition;Landwirtschaft sind die Bodenbewirtschaftung und die mit der Bodennutzung verbundene Tierhaltung, um pflanzliche oder tierische Erzeugnisse zu gewinnen, sowie die gartenbauliche Erzeugung.
Reference;(2) Für Landpachtverträge gelten § 581 Abs. 1 und die §§ 582 bis 583a sowie die nachfolgenden besonderen Vorschriften.
Reference;(3) Die Vorschriften über Landpachtverträge gelten auch für Pachtverhältnisse über forstwirtschaftliche Grundstücke, wenn die Grundstücke zur Nutzung in einem überwiegend landwirtschaftlichen Betrieb verpachtet werden.
Duty;(1) Der Verpächter und der Pächter sollen bei Beginn des Pachtverhältnisses gemeinsam eine Beschreibung der Pachtsache anfertigen, in der ihr Umfang sowie der Zustand, in dem sie sich bei der Überlassung befindet, festgestellt werden.
Continuation;Dies gilt für die Beendigung des Pachtverhältnisses entsprechend.
Duty;Die Beschreibung soll mit der Angabe des Tages der Anfertigung versehen werden und ist von beiden Teilen zu unterschreiben.
Permission;(2) Weigert sich ein Vertragsteil, bei der Anfertigung einer Beschreibung mitzuwirken, oder ergeben sich bei der Anfertigung Meinungsverschiedenheiten tatsächlicher Art, so kann jeder Vertragsteil verlangen, dass eine Beschreibung durch einen Sachverständigen angefertigt wird, es sei denn, dass seit der Überlassung der Pachtsache mehr als neun Monate oder seit der Beendigung des Pachtverhältnisses mehr als drei Monate verstrichen sind
Consequence;Die insoweit entstehenden Kosten trägt jeder Vertragsteil zur Hälfte.
Duty;(1) Der Verpächter hat die Pachtsache dem Pächter in einem zu der vertragsmäßigen Nutzung geeigneten Zustand zu überlassen und sie während der Pachtzeit in diesem Zustand zu erhalten.
Duty;Der Pächter hat jedoch die gewöhnlichen Ausbesserungen der Pachtsache, insbesondere die der Wohn- und Wirtschaftsgebäude, der Wege, Gräben, Dränungen und Einfriedigungen, auf seine Kosten durchzuführen.
Duty;Er ist zur ordnungsmäßigen Bewirtschaftung der Pachtsache verpflichtet.
Reference;(2) Für die Haftung des Verpächters für Sach- und Rechtsmängel der Pachtsache sowie für die Rechte und Pflichten des Pächters wegen solcher Mängel gelten die Vorschriften des § 536 Abs. 1 bis 3 und der §§ 536a bis 536d entsprechend.
Duty;Der Verpächter hat die auf der Pachtsache ruhenden Lasten zu tragen.
Duty;(1) Die Pacht ist am Ende der Pachtzeit zu entrichten.
Duty;Ist die Pacht nach Zeitabschnitten bemessen, so ist sie am ersten Werktag nach dem Ablauf der einzelnen Zeitabschnitte zu entrichten.
Consequence;(2) Der Pächter wird von der Entrichtung der Pacht nicht dadurch befreit, dass er durch einen in seiner Person liegenden Grund an der Ausübung des ihm zustehenden Nutzungsrechts verhindert ist.
Reference;§ 537 Abs. 1 Satz 2 und Abs. 2 gilt entsprechend.
Duty;(1) Der Pächter hat Einwirkungen auf die Pachtsache zu dulden, die zu ihrer Erhaltung erforderlich sind.
Duty;(2) Maßnahmen zur Verbesserung der Pachtsache hat der Pächter zu dulden, es sei denn, dass die Maßnahme für ihn eine Härte bedeuten würde, die auch unter Würdigung der berechtigten Interessen des Verpächters nicht zu rechtfertigen ist.
Duty;Der Verpächter hat die dem Pächter durch die Maßnahme entstandenen Aufwendungen und entgangenen Erträge in einem den Umständen nach angemessenen Umfang zu ersetzen.
Duty;Auf Verlangen hat der Verpächter Vorschuss zu leisten.
Permission;(3) Soweit der Pächter infolge von Maßnahmen nach Absatz 2 Satz 1 höhere Erträge erzielt oder bei ordnungsmäßiger Bewirtschaftung erzielen könnte, kann der Verpächter verlangen, dass der Pächter in eine angemessene Erhöhung der Pacht einwilligt, es sei denn, dass dem Pächter eine Erhöhung der Pacht nach den Verhältnissen des Betriebs nicht zugemutet werden kann.
Consequence;(4) Über Streitigkeiten nach den Absätzen 1 und 2 entscheidet auf Antrag das Landwirtschaftsgericht.
Permission;Verweigert der Pächter in den Fällen des Absatzes 3 seine Einwilligung, so kann sie das Landwirtschaftsgericht auf Antrag des Verpächters ersetzen.
Prohibition;(1) Der Pächter ist ohne Erlaubnis des Verpächters nicht berechtigt, 1.die Nutzung der Pachtsache einem Dritten zu überlassen, insbesondere die Sache weiter zu verpachten,2.die Pachtsache ganz oder teilweise einem landwirtschaftlichen Zusammenschluss zum Zwecke der gemeinsamen Nutzung zu überlassen.
Permission;(1) Der Pächter darf die landwirtschaftliche Bestimmung der Pachtsache nur mit vorheriger Erlaubnis des Verpächters ändern.
Consequence;(2) Zur Änderung der bisherigen Nutzung der Pachtsache ist die vorherige Erlaubnis des Verpächters nur dann erforderlich, wenn durch die Änderung die Art der Nutzung über die Pachtzeit hinaus beeinflusst wird.
Permission;Der Pächter darf Gebäude nur mit vorheriger Erlaubnis des Verpächters errichten.
Permission;Verweigert der Verpächter die Erlaubnis, so kann sie auf Antrag des Pächters durch das Landwirtschaftsgericht ersetzt werden, soweit die Änderung zur Erhaltung oder nachhaltigen Verbesserung der Rentabilität des Betriebs geeignet erscheint und dem Verpächter bei Berücksichtigung seiner berechtigten Interessen zugemutet werden kann.
Continuation;Dies gilt nicht, wenn der Pachtvertrag gekündigt ist oder das Pachtverhältnis in weniger als drei Jahren endet.
Permission;Das Landwirtschaftsgericht kann die Erlaubnis unter Bedingungen und Auflagen ersetzen, insbesondere eine Sicherheitsleistung anordnen sowie Art und Umfang der Sicherheit bestimmen.
Consequence;Ist die Veranlassung für die Sicherheitsleistung weggefallen, so entscheidet auf Antrag das Landwirtschaftsgericht über die Rückgabe der Sicherheit.
Permission;(3) Hat der Pächter das nach § 582a zum Schätzwert übernommene Inventar im Zusammenhang mit einer Änderung der Nutzung der Pachtsache wesentlich vermindert, so kann der Verpächter schon während der Pachtzeit einen Geldausgleich in entsprechender Anwendung des § 582a Abs. 3 verlangen, es sei denn, dass der Erlös der veräußerten Inventarstücke zu einer zur Höhe des Erlöses in angemessenem Verhältnis stehenden Verbesserung der Pachtsache nach § 591 verwendet worden ist.
Permission;Macht der Pächter von der Pachtsache einen vertragswidrigen Gebrauch und setzt er den Gebrauch ungeachtet einer Abmahnung des Verpächters fort, so kann der Verpächter auf Unterlassung klagen.
Duty;Der Verpächter ist verpflichtet, dem Pächter die notwendigen Verwendungen auf die Pachtsache zu ersetzen.
Duty;(1) Andere als notwendige Verwendungen, denen der Verpächter zugestimmt hat, hat er dem Pächter bei Beendigung des Pachtverhältnisses zu ersetzen, soweit die Verwendungen den Wert der Pachtsache über die Pachtzeit hinaus erhöhen (Mehrwert).
Permission;(2) Weigert sich der Verpächter, den Verwendungen zuzustimmen, so kann die Zustimmung auf Antrag des Pächters durch das Landwirtschaftsgericht ersetzt werden, soweit die Verwendungen zur Erhaltung oder nachhaltigen Verbesserung der Rentabilität des Betriebs geeignet sind und dem Verpächter bei Berücksichtigung seiner berechtigten Interessen zugemutet werden können.
Continuation;Dies gilt nicht, wenn der Pachtvertrag gekündigt ist oder das Pachtverhältnis in weniger als drei Jahren endet.
Permission;Das Landwirtschaftsgericht kann die Zustimmung unter Bedingungen und Auflagen ersetzen.
Permission;(3) Das Landwirtschaftsgericht kann auf Antrag auch über den Mehrwert Bestimmungen treffen und ihn festsetzen.
Permission;Es kann bestimmen, dass der Verpächter den Mehrwert nur in Teilbeträgen zu ersetzen hat, und kann Bedingungen für die Bewilligung solcher Teilzahlungen festsetzen.
Permission;Ist dem Verpächter ein Ersatz des Mehrwerts bei Beendigung des Pachtverhältnisses auch in Teilbeträgen nicht zuzumuten, so kann der Pächter nur verlangen, dass das Pachtverhältnis zu den bisherigen Bedingungen so lange fortgesetzt wird, bis der Mehrwert der Pachtsache abgegolten ist.
Consequence;Kommt keine Einigung zustande, so entscheidet auf Antrag das Landwirtschaftsgericht über eine Fortsetzung des Pachtverhältnisses.
Permission;Der Pächter ist berechtigt, eine Einrichtung, mit der er die Sache versehen hat, wegzunehmen.
Permission;Der Verpächter kann die Ausübung des Wegnahmerechts durch Zahlung einer angemessenen Entschädigung abwenden, es sei denn, dass der Pächter ein berechtigtes Interesse an der Wegnahme hat.
Objection;Eine Vereinbarung, durch die das Wegnahmerecht des Pächters ausgeschlossen wird, ist nur wirksam, wenn ein angemessener Ausgleich vorgesehen ist.
Consequence;(1) Die Ersatzansprüche des Verpächters wegen Veränderung oder Verschlechterung der verpachteten Sache sowie die Ansprüche des Pächters auf Ersatz von Verwendungen oder auf Gestattung der Wegnahme einer Einrichtung verjähren in sechs Monaten.
Consequence;(2) Die Verjährung der Ersatzansprüche des Verpächters beginnt mit dem Zeitpunkt, in welchem er die Sache zurückerhält.
Consequence;Die Verjährung der Ansprüche des Pächters beginnt mit der Beendigung des Pachtverhältnisses.
Consequence;(3) Mit der Verjährung des Anspruchs des Verpächters auf Rückgabe der Sache verjähren auch die Ersatzansprüche des Verpächters.
Consequence;Der Verpächter hat für seine Forderungen aus dem Pachtverhältnis ein Pfandrecht an den eingebrachten Sachen des Pächters sowie an den Früchten der Pachtsache.
Prohibition;Für künftige Entschädigungsforderungen kann das Pfandrecht nicht geltend gemacht werden.
Consequence;Mit Ausnahme der in § 811 Abs. 1 Nr. 4 der Zivilprozessordnung genannten Sachen erstreckt sich das Pfandrecht nicht auf Sachen, die der Pfändung nicht unterworfen sind.
Reference;Die Vorschriften der §§ 562a bis 562c gelten entsprechend.
Permission;(1) Haben sich nach Abschluss des Pachtvertrags die Verhältnisse, die für die Festsetzung der Vertragsleistungen maßgebend waren, nachhaltig so geändert, dass die gegenseitigen Verpflichtungen in ein grobes Missverhältnis zueinander geraten sind, so kann jeder Vertragsteil eine Änderung des Vertrags mit Ausnahme der Pachtdauer verlangen.
Prohibition;Verbessert oder verschlechtert sich infolge der Bewirtschaftung der Pachtsache durch den Pächter deren Ertrag, so kann, soweit nichts anderes vereinbart ist, eine Änderung der Pacht nicht verlangt werden.
Permission;(2) Eine Änderung kann frühestens zwei Jahre nach Beginn des Pachtverhältnisses oder nach dem Wirksamwerden der letzten Änderung der Vertragsleistungen verlangt werden.
Continuation;Dies gilt nicht, wenn verwüstende Naturereignisse, gegen die ein Versicherungsschutz nicht üblich ist, das Verhältnis der Vertragsleistungen grundlegend und nachhaltig verändert haben.
Prohibition;(3) Die Änderung kann nicht für eine frühere Zeit als für das Pachtjahr verlangt werden, in dem das Änderungsverlangen erklärt wird.
Permission;(4) Weigert sich ein Vertragsteil, in eine Änderung des Vertrags einzuwilligen, so kann der andere Teil die Entscheidung des Landwirtschaftsgerichts beantragen.
Prohibition;(5) Auf das Recht, eine Änderung des Vertrags nach den Absätzen 1 bis 4 zu verlangen, kann nicht verzichtet werden.
Objection;Eine Vereinbarung, dass einem Vertragsteil besondere Nachteile oder Vorteile erwachsen sollen, wenn er die Rechte nach den Absätzen 1 bis 4 ausübt oder nicht ausübt, ist unwirksam.
Consequence;Wird bei der Übergabe eines Betriebs im Wege der vorweggenommenen Erbfolge ein zugepachtetes Grundstück, das der Landwirtschaft dient, mit übergeben, so tritt der Übernehmer anstelle des Pächters in den Pachtvertrag ein.
Duty;Der Verpächter ist von der Betriebsübergabe jedoch unverzüglich zu benachrichtigen.
Permission;Ist die ordnungsmäßige Bewirtschaftung der Pachtsache durch den Übernehmer nicht gewährleistet, so ist der Verpächter berechtigt, das Pachtverhältnis außerordentlich mit der gesetzlichen Frist zu kündigen.
Reference;Wird das verpachtete Grundstück veräußert oder mit dem Recht eines Dritten belastet, so gelten die §§ 566 bis 567b entsprechend.
Consequence;Das Pachtverhältnis endet mit dem Ablauf der Zeit, für die es eingegangen ist.
Consequence;Es verlängert sich bei Pachtverträgen, die auf mindestens drei Jahre geschlossen worden sind, auf unbestimmte Zeit, wenn auf die Anfrage eines Vertragsteils, ob der andere Teil zur Fortsetzung des Pachtverhältnisses bereit ist, dieser nicht binnen einer Frist von drei Monaten die Fortsetzung ablehnt.
Consequence;Die Anfrage und die Ablehnung bedürfen der schriftlichen Form.
Objection;Die Anfrage ist ohne Wirkung, wenn in ihr nicht auf die Folge der Nichtbeachtung ausdrücklich hingewiesen wird und wenn sie nicht innerhalb des drittletzten Pachtjahrs gestellt wird.
Permission;(1) Ist die Pachtzeit nicht bestimmt, so kann jeder Vertragsteil das Pachtverhältnis spätestens am dritten Werktag eines Pachtjahrs für den Schluss des nächsten Pachtjahrs kündigen.
Consequence;Die Vereinbarung einer kürzeren Frist bedarf der Schriftform.
Objection;"(2) Für die Fälle, in denen das Pachtverhältnis außerordentlich mit der gesetzlichen Frist vorzeitig gekündigt werden kann, ist die Kündigung nur für den Schluss eines Pachtjahrs zulässig; sie hat spätestens am dritten Werktag des halben Jahres zu erfolgen, mit dessen Ablauf die Pacht enden soll."
Permission;Wird ein Pachtvertrag für eine längere Zeit als 30 Jahre geschlossen, so kann nach 30 Jahren jeder Vertragsteil das Pachtverhältnis spätestens am dritten Werktag eines Pachtjahrs für den Schluss des nächsten Pachtjahrs kündigen.
Objection;Die Kündigung ist nicht zulässig, wenn der Vertrag für die Lebenszeit des Verpächters oder des Pächters geschlossen ist.
